Code,Province,Arabic name,Population (2008),Area km,Area sqmi,Density (2008) per km,Density (2008) per sqmi,Number of districts,Number of municipalities
01,Adrar,أدرار,"261,258","254,471","98,252",1.03,2.7,6,16
02,Chlef,الشلف,"1,002,088","4,795","1,851",209,540,13,35
03,Laghouat,الأغواط,"455,602","25,057","9,675",18,47,10,24
04,Oum El Bouaghi,أم البواقي,"621,612","6,783","2,619",81,210,12,29
05,Batna,باتنة,"1,119,791","12,192","4,707",92,240,21,61
06,Béjaïa,بجاية,"912,577","3,268","1,262",279,720,19,52
07,Biskra,بسكرة,"547,137","9,576","3,697",57,150,10,27
08,Béchar,بشار,"219,898","60,850","23,490",3.61,9.3,6,11
09,Blida,البليدة,"1,002,937","1,575",608,591,"1,530",10,25
10,Bouïra,البويرة,"695,583","4,439","1,714",157,410,12,45
11,Tamanrasset,تمنراست,"115,043","336,839","130,054",0.34,0.88,3,5
12,Tébessa,تبسة,"648,703","14,227","5,493",46,120,12,28
13,Tlemcen,تلمسان,"949,135","9,061","3,498",105,270,20,53
14,Tiaret,تيارت,"846,823","20,673","7,982",41,110,14,42
15,Tizi Ouzou,تيزي وزو,"1,127,608","2,956","1,141",316,820,21,67
16,Algiers,الجزائر,"2,988,145","1,190",460,"2,511","6,500",13,57
17,Djelfa,الجلفة,"1,092,184","66,415","25,643",46,120,12,36
18,Jijel,جيجل,"636,948","2,577",995,247,640,11,28
19,Sétif,سطيف,"1,489,979","6,504","2,511",229,590,20,60
20,Saïda,سعيدة,"330,641","6,764","2,612",49,130,6,16
21,Skikda,سكيكدة,"898,680","4,026","1,554",223,580,13,38
22,Sidi Bel Abbès,سيدي بلعباس,"604,744","9,096","3,512",66,170,15,52
23,Annaba,عنابة,"609,499","1,439",556,424,"1,100",6,12
24,Guelma,قالمة,"482,430","4,101","1,583",118,310,10,34
25,Constantine,قسنطينة,"938,475","2,187",844,427,"1,110",6,12
26,Médéa,المدية,"819,932","8,866","3,423",92,240,19,64
27,Mostaganem,مستغانم,"737,118","2,175",840,325,840,10,32
28,M'Sila,المسيلة,"990,591","18,718","7,227",53,140,15,47
29,Mascara,معسكر,"784,073","5,941","2,294",132,340,16,47
30,Ouargla,ورقلة,"311,337","194,552","75,117",1.6,4.1,6,10
31,Oran,وهران,"1,584,607","2,121",819,688,"1,780",9,26
32,El Bayadh,البيض,"228,624","78,870","30,450",3.2,8.3,8,22
33,Illizi,اليزي,"34,715","198,815","76,763",0.17,0.44,2,4
34,Bordj Bou Arréridj,برج بوعريريج,"628,475","4,115","1,589",160,410,10,34
35,Boumerdès,بومرداس,"802,083","1,356",524,504,"1,310",9,32
36,El Tarf,الطارف,"408,414","3,339","1,289",122,320,7,24
37,Tindouf,تندوف,"49,149","159,000","61,000",0.31,0.80,1,2
38,Tissemsilt,تسمسيلت,"294,476","3,152","1,217",93,240,8,22
39,El Oued,الوادي,"647,548","45,738","17,660",10.61,27.5,10,22
40,Khenchela,خنشلة,"386,683","9,811","3,788",40,100,8,21
41,Souk Ahras,سوق أهراس,"438,127","4,541","1,753",95,250,10,26
42,Tipaza,تيبازة,"591,010","1,605",620,273,710,10,28
43,Mila,ميلة,"766,886","3,407","1,315",220,570,13,32
44,Aïn Defla,عين الدفلى,"766,013","4,891","1,888",156,400,14,36
45,Naâma,النعامة,"192,891","29,950","11,560",6.5,17,7,12
46,Aïn Témouchent,عين تموشنت,"371,239","2,379",919,156,400,8,28
47,Ghardaïa,غرداية,"306,322","23,890","9,220",12.82,33.2,7,9
48,Relizane,غليزان,"726,180","4,870","1,880",152,390,13,38
49,El M'Ghair,المغير,"162,267","8,835","3,411",0.94,2.4,2,8
50,El Menia,المنيعة,"57,276","62,215","24,021",0.92,2.4,2,4
51,Ouled Djellal,أولاد جلال,"174,219","11,410","4,410",15,39,2,6
52,Bordj Baji Mokhtar,برج باجي مختار,"16,437","120,026","46,342",0.14,0.36,1,2
53,Béni Abbès,بني عباس,"50,163","101,350","39,130",0.49,1.3,6,10
54,Timimoun,تيميمون,"122,019","65,203","25,175",1.9,4.9,4,10
55,Touggourt,تقرت,"247,221","17,428","6,729",14,36,4,11
56,Djanet,جانت,"17,618","86,185","33,276",0.2,0.52,1,2
57,Ain Salah,عين صالح,"50,392","131,220","50,660",0.38,0.98,2,3
58,Ain Guezzam,عين قزّام,"11,202","88,126","34,026",0.13,0.34,2,2
